Rank,Code,Country,# of Contestants,Total Score,Gold Awards,Silver Awards,Bronze Awards,Honorable Mentions
1,USA,United States of America,10,281,1,2,4,3
2,KOR,Republic of Korea,10,243,1,2,4,3
3,CAN,Canada,10,194,1,2,4,3
4,IRN,Islamic Republic of Iran,10,188,1,2,4,2
5,JPN,Japan,10,182,1,2,4,3
6,TWN,Taiwan,10,177,1,2,4,3
7,THA,Thailand,10,175,1,2,4,3
8,HKG,Hong Kong,10,163,1,2,4,3
9,PER,Peru,10,161,1,2,4,2
10,BRA,Brazil,10,155,1,2,4,3
11,MEX,Mexico,10,153,1,2,4,2
12,RUS,Russia,10,153,1,2,4,3
13,SGP,Singapore,10,153,1,2,4,3
14,KAZ,Kazakhstan,10,149,0,3,4,3
15,MYS,Malaysia,10,123,1,2,3,4
16,AUS,Australia,10,121,1,1,3,5
17,PHL,Philippines,10,119,0,1,6,3
18,TJK,Tajikistan,10,118,1,0,5,4
19,ARG,Argentina,10,116,1,1,2,6
20,IDN,Indonesia,10,116,1,1,2,5
21,BGD,Bangladesh,10,96,1,0,2,6
22,SAU,Saudi Arabia,10,92,0,0,3,6
23,TKM,Turkmenistan,10,72,0,0,0,10
24,NZL,New Zealand,10,72,0,0,0,7
25,MKD,Macedonia,10,63,0,1,2,2
26,MAR,Morocco,10,60,0,0,1,1
27,COL,Colombia,10,58,0,0,2,3
28,SYR,Syria,10,56,0,0,2,1
29,CRI,Costa Rica,10,55,0,0,0,6
30,NIC,Nicaragua,10,50,0,0,1,4
31,SLV,El Salvador,6,38,0,0,0,5
32,KGZ,Kyrgyzstan,10,34,0,0,1,3
33,PAN,Panama,7,24,0,0,0,1
34,BOL,Bolivia,3,22,0,0,0,3
35,ECU,Ecuador,10,20,0,1,0,0
36,LKA,Sri Lanka,5,16,0,0,0,2
37,URY,Uruguay,3,12,0,0,1,0
