Rank,Code,Country,# of Contestants,Total Score,Gold Awards,Silver Awards,Bronze Awards,Honorable Mentions
1,KOR,Republic of Korea,10,315,1,2,4,3
2,RUS,Russia,10,294,1,2,4,3
3,USA,United States of America,9,269,1,2,4,2
4,SGP,Singapore,10,238,1,2,4,2
5,IRN,Islamic Republic of Iran,9,222,1,2,4,2
6,JPN,Japan,10,216,1,2,4,3
7,CAN,Canada,10,210,1,2,4,3
8,TWN,Taiwan,10,189,1,2,4,3
9,THA,Thailand,10,177,0,3,4,2
10,IDN,Indonesia,10,163,0,3,4,3
11,PER,Peru,10,151,0,3,4,3
12,BRA,Brazil,10,150,1,1,5,3
13,KAZ,Kazakhstan,10,147,0,1,6,3
14,MEX,Mexico,10,141,1,1,5,3
15,AUS,Australia,10,133,1,1,5,0
16,IND,India,10,131,0,3,4,1
17,HKG,Hong Kong,10,129,1,2,1,0
18,ARG,Argentina,10,125,0,2,4,4
19,SAU,Saudi Arabia,10,92,1,0,1,1
20,BGD,Bangladesh,10,86,0,1,3,3
21,PHL,Philippines,10,75,0,1,1,1
22,MYS,Malaysia,10,71,0,1,2,0
23,TJK,Tajikistan,9,64,0,0,3,1
24,NZL,New Zealand,10,53,0,0,0,1
25,LKA,Sri Lanka,7,46,0,1,2,0
26,COL,Colombia,10,44,0,0,1,0
27,TKM,Turkmenistan,10,44,0,0,2,0
28,NIC,Nicaragua,10,39,0,1,0,0
29,ECU,Ecuador,10,30,0,0,1,1
30,SLV,El Salvador,6,30,0,0,0,3
31,KHM,Cambodia,10,28,0,0,0,0
32,URY,Uruguay,5,23,0,0,1,0
33,SYR,Syria,6,22,0,0,0,1
34,CRI,Costa Rica,3,19,0,0,0,2
35,PAN,Panama,6,12,0,0,1,0
36,TTO,Trinidad and Tobago,10,4,0,0,0,0
