Rank,Code,Country,# of Contestants,Total Score,Gold Awards,Silver Awards,Bronze Awards,Honorable Mentions
1,USA,United States of America,10,295,1,2,4,3
2,KOR,Republic of Korea,10,294,1,2,4,3
3,THA,Thailand,10,270,1,2,4,3
4,JPN,Japan,10,264,1,2,4,3
5,RUS,Russia,10,263,1,2,4,3
6,IRN,Islamic Republic of Iran,10,253,1,2,4,3
7,TWN,Taiwan,10,241,1,2,4,3
8,CAN,Canada,10,230,1,2,4,3
9,SGP,Singapore,10,208,1,2,4,3
10,BRA,Brazil,10,207,1,2,4,3
11,PHL,Philippines,10,190,1,2,4,3
12,HKG,Hong Kong,10,176,1,2,4,3
13,IDN,Indonesia,10,173,1,2,4,3
14,AUS,Australia,10,170,1,2,4,3
15,PER,Peru,10,158,1,2,4,3
16,IND,India,10,157,0,3,4,3
17,MEX,Mexico,10,149,1,2,4,3
18,ARG,Argentina,10,132,0,3,3,2
19,SAU,Saudi Arabia,10,116,1,0,3,4
20,BGD,Bangladesh,10,109,0,1,2,7
21,NZL,New Zealand,10,93,0,0,2,8
22,TJK,Tajikistan,10,92,0,1,0,9
23,KAZ,Kazakhstan,10,81,0,0,1,9
24,TKM,Turkmenistan,10,67,0,0,1,6
25,NIC,Nicaragua,8,65,0,1,1,4
26,MKD,Macedonia,8,63,0,0,1,6
27,KGZ,Kyrgyzstan,7,58,0,0,2,3
28,MYS,Malaysia,10,57,0,1,2,0
29,SYR,Syria,9,55,0,0,1,5
30,SLV,El Salvador,9,48,0,0,2,2
31,KHM,Cambodia,10,44,0,0,0,4
32,LKA,Sri Lanka,9,43,0,0,1,3
33,PAK,Pakistan,10,28,0,0,0,2
34,ECU,Ecuador,10,24,0,0,1,0
35,COL,Colombia,5,23,0,0,1,0
36,BOL,Bolivia,7,19,0,0,0,1
37,TTO,Trinidad and Tobago,9,17,0,0,0,1
38,CRI,Costa Rica,1,8,0,0,0,1
39,PAN,Panama,1,8,0,0,0,1
