Rank,Code,Country,# of Contestants,Total Score,Gold Awards,Silver Awards,Bronze Awards,Honorable Mentions
1,USA,United States of America,10,324,1,2,4,3
2,,Korea,10,306,1,2,4,3
3,JPN,Japan,10,246,1,2,4,3
4,IND,India,10,221,1,2,4,3
5,SGP,Singapore,10,220,1,2,4,3
6,MYS,Malaysia,10,220,1,2,4,3
7,,Vietnam,10,204,1,2,4,3
8,CAN,Canada,10,196,1,2,4,3
9,TWN,Taiwan,10,191,1,2,4,3
10,HKG,Hong Kong,10,182,1,2,4,3
11,KAZ,Kazakhstan,10,181,1,2,4,3
12,,Iran,10,181,1,2,4,3
13,AUS,Australia,10,172,1,2,4,2
14,BRA,Brazil,10,170,0,3,4,2
15,THA,Thailand,10,160,1,2,4,3
16,MEX,Mexico,10,154,1,2,4,2
17,PER,Peru,10,144,0,2,5,3
18,MNG,Mongolia,10,137,1,2,3,4
19,TJK,Tajikistan,10,118,1,1,1,7
20,UZB,Uzbekistan,10,108,0,1,2,7
21,TKM,Turkmenistan,10,108,0,0,5,4
22,BGR,Bulgaria,10,106,0,0,4,4
23,NZL,New Zealand,10,104,0,1,3,6
24,SAU,Saudi Arabia,10,97,0,0,3,7
25,IDN,Indonesia,10,95,0,0,2,6
26,PHL,Philippines,10,91,1,0,1,6
27,ARG,Argentina,10,89,0,0,2,8
28,MAC,Macau,10,87,0,0,2,8
29,KGZ,Kyrgyzstan,10,86,0,0,2,8
30,AZE,Azerbaijan,10,84,0,0,2,8
31,COL,Colombia,10,78,0,1,1,3
32,MAR,Morocco,10,76,0,0,0,7
33,LKA,Sri Lanka,8,70,0,0,3,3
34,SYR,Syria,10,69,0,0,0,8
35,BOL,Bolivia,7,54,1,0,0,3
36,NIC,Nicaragua,10,44,0,0,1,4
37,ECU,Ecuador,10,43,0,0,0,1
38,,North Macedonia,5,39,0,0,0,5
39,PAK,Pakistan,6,33,0,0,0,4
40,URY,Uruguay,6,32,0,0,0,3
41,CRI,Costa Rica,7,25,0,0,0,1
42,SLV,El Salvador,3,8,0,0,0,0
43,PAN,Panama,5,8,0,0,0,0
