Code,Country,# of Contestants,Total Score,Gold Awards,Silver Awards,Bronze Awards,Honorable Mentions
ARG,Argentina,10,131,0,3,4,3
AUS,Australia,10,192,0,3,4,3
BGD,Bangladesh,10,129,0,1,6,3
BOL,Bolivia,7,33,0,0,1,1
BRA,Brazil,10,139,0,3,4,1
CAN,Canada,10,197,1,2,4,3
COL,Colombia,10,42,0,0,1,2
CRI,Costa Rica,8,43,0,0,0,3
ECU,Ecuador,10,31,0,0,0,2
SLV,El Salvador,5,47,1,0,1,1
HKG,Hong Kong,10,190,1,2,4,1
IND,India,10,205,1,2,4,3
IDN,Indonesia,10,164,0,3,4,3
IRN,Islamic Republic of Iran,8,114,0,3,2,3
JPN,Japan,10,220,1,2,4,3
KAZ,Kazakhstan,10,198,0,3,4,3
KGZ,Kyrgyzstan,10,71,0,0,2,4
MKD,Macedonia,6,54,0,1,1,2
MYS,Malaysia,10,130,0,2,4,3
MEX,Mexico,10,154,0,3,4,3
MAR,Morocco,10,76,0,0,1,3
NZL,New Zealand,10,76,0,0,1,6
PAN,Panama,5,7,0,0,0,1
PHL,Philippines,10,117,0,1,4,4
KOR,Republic of Korea,10,310,1,2,4,3
SAU,Saudi Arabia,10,163,0,3,4,3
SGP,Singapore,10,193,0,3,4,2
LKA,Sri Lanka,8,56,0,0,3,2
SYR,Syria,10,61,0,1,0,3
TWN,Taiwan,10,223,1,2,4,3
TJK,Tajikistan,10,111,0,0,5,1
THA,Thailand,10,199,1,2,4,3
TKM,Turkmenistan,10,117,0,1,4,5
USA,United States of America,10,294,1,2,4,3
URY,Uruguay,1,8,0,0,0,1
