Code,Country,# of Contestants,Total Score,Gold Awards,Silver Awards,Bronze Awards,Honorable Mentions
ARG,Argentina,10,125,0,2,4,4
AUS,Australia,10,133,1,1,5,0
BGD,Bangladesh,10,86,0,1,3,3
BRA,Brazil,10,150,1,1,5,3
KHM,Cambodia,10,28,0,0,0,0
CAN,Canada,10,210,1,2,4,3
COL,Colombia,10,44,0,0,1,0
CRI,Costa Rica,3,19,0,0,0,2
ECU,Ecuador,10,30,0,0,1,1
SLV,El Salvador,6,30,0,0,0,3
HKG,Hong Kong,10,129,1,2,1,0
IND,India,10,131,0,3,4,1
IDN,Indonesia,10,163,0,3,4,3
IRN,Islamic Republic of Iran,9,222,1,2,4,2
JPN,Japan,10,216,1,2,4,3
KAZ,Kazakhstan,10,147,0,1,6,3
KOR,Republic of Korea,10,315,1,2,4,3
MYS,Malaysia,10,71,0,1,2,0
MEX,Mexico,10,141,1,1,5,3
NZL,New Zealand,10,53,0,0,0,1
NIC,Nicaragua,10,39,0,1,0,0
PAN,Panama,6,12,0,0,1,0
PER,Peru,10,151,0,3,4,3
PHL,Philippines,10,75,0,1,1,1
RUS,Russia,10,294,1,2,4,3
SAU,Saudi Arabia,10,92,1,0,1,1
SGP,Singapore,10,238,1,2,4,2
LKA,Sri Lanka,7,46,0,1,2,0
SYR,Syria,6,22,0,0,0,1
TWN,Taiwan,10,189,1,2,4,3
TJK,Tajikistan,9,64,0,0,3,1
THA,Thailand,10,177,0,3,4,2
TTO,Trinidad and Tobago,10,4,0,0,0,0
TKM,Turkmenistan,10,44,0,0,2,0
USA,United States of America,9,269,1,2,4,2
URY,Uruguay,5,23,0,0,1,0
