Rank,Code,Country,# of Contestants,Total Score,Gold Awards,Silver Awards,Bronze Awards,Honorable Mentions
1,KOR,Republic of Korea,10,289,1,2,4,3
2,USA,United States of America,10,269,1,2,4,3
3,THA,Thailand,10,228,1,2,4,3
4,PER,Peru,10,223,1,2,4,3
5,TWN,Taiwan,10,220,1,2,4,3
6,JPN,Japan,10,208,1,2,4,3
7,RUS,Russia,10,205,1,2,4,3
8,SGP,Singapore,10,205,1,2,4,3
9,BRA,Brazil,10,190,1,2,4,3
10,HKG,Hong Kong,10,173,1,2,4,3
11,CAN,Canada,10,164,1,2,4,3
12,AUS,Australia,10,156,0,3,4,3
13,KAZ,Kazakhstan,10,154,0,3,4,3
14,MEX,Mexico,10,141,0,3,4,3
15,IDN,Indonesia,10,135,0,2,5,3
16,NZL,New Zealand,10,128,1,1,5,1
17,ARG,Argentina,10,121,0,2,5,2
18,MYS,Malaysia,10,108,1,0,4,1
19,AZE,Azerbaijan,10,101,0,2,4,0
20,TJK,Tajikistan,10,82,0,0,3,0
21,TKM,Turkmenistan,10,78,0,1,2,0
22,SAU,Saudi Arabia,10,60,0,1,1,1
23,PHL,Philippines,10,59,0,0,2,0
24,CRI,Costa Rica,5,49,1,0,2,0
25,COL,Colombia,10,41,0,0,0,1
26,KHM,Cambodia,10,41,0,0,0,1
27,BGD,Bangladesh,5,26,0,0,0,1
28,ECU,Ecuador,10,24,0,0,0,1
29,URY,Uruguay,2,20,0,0,1,0
30,TTO,Trinidad and Tobago,10,18,0,0,0,0
31,SLV,El Salvador,9,16,0,0,1,0
32,CIV,Côte d'Ivoire,3,11,0,0,0,0
33,PAK,Pakistan,10,8,0,0,0,0
34,SYR,Syria,10,5,0,0,0,0
35,QAT,Qatar,7,1,0,0,0,0
