Rank,Code,Country,# of Contestants,Total Score,Gold Awards,Silver Awards,Bronze Awards,Honorable Mentions
1,USA,United States of America,10,307,1,2,4,3
2,KOR,Republic of Korea,10,291,1,2,4,3
3,CAN,Canada,10,226,1,2,4,3
4,TWN,Taiwan,10,217,1,2,4,3
5,JPN,Japan,10,211,1,2,4,3
6,IND,India,10,206,1,2,4,3
7,SGP,Singapore,10,202,1,2,4,3
8,AUS,Australia,10,192,1,2,4,2
9,HKG,Hong Kong,10,172,1,2,4,3
10,BRA,Brazil,10,157,0,3,4,3
11,THA,Thailand,10,154,0,3,4,3
12,KAZ,Kazakhstan,10,150,1,2,4,3
13,BGR,Bulgaria,10,143,0,2,0,4
14,ARG,Argentina,10,135,1,2,4,3
15,MYS,Malaysia,10,128,1,1,4,1
16,PHL,Philippines,10,122,1,2,3,1
17,MEX,Mexico,10,105,1,1,1,3
18,PER,Peru,10,103,1,0,2,2
19,SAU,Saudi Arabia,10,91,0,1,5,0
20,AZE,Azerbaijan,10,70,0,2,1,1
21,UZB,Uzbekistan,10,64,0,0,2,1
22,NZL,New Zealand,10,56,0,0,3,2
23,BGD,Bangladesh,10,55,0,1,0,1
24,TKM,Turkmenistan,10,52,0,0,1,3
25,TJK,Tajikistan,10,48,0,0,0,4
26,SYR,Syria,10,48,0,0,0,4
27,COL,Colombia,10,39,0,1,0,0
28,MKD,Macedonia,5,35,1,0,0,1
29,SLV,El Salvador,8,33,1,0,0,0
30,KGZ,Kyrgyzstan,10,29,0,0,0,1
31,LKA,Sri Lanka,10,28,0,0,0,0
32,MAR,Morocco,10,24,0,0,0,1
33,ECU,Ecuador,10,21,0,0,0,0
34,URY,Uruguay,3,13,0,0,0,1
35,CRI,Costa Rica,10,11,0,0,0,0
36,NIC,Nicaragua,5,4,0,0,0,0
37,BOL,Bolivia,2,4,0,0,0,0
38,PAN,Panama,2,3,0,0,0,0
