Rank,Code,Country,# of Contestants,Total Score,Gold Awards,Silver Awards,Bronze Awards,Honorable Mentions
1,KOR,Republic of Korea,10,244,1,2,4,3
2,USA,United States of America,10,231,1,2,4,3
3,RUS,Russia,10,218,1,2,4,3
4,BRA,Brazil,10,179,1,2,4,3
5,THA,Thailand,10,175,1,2,4,3
6,JPN,Japan,10,174,1,2,4,3
7,CAN,Canada,10,167,1,2,4,3
8,TWN,Taiwan,10,155,1,2,4,3
9,AUS,Australia,10,149,1,2,4,3
10,MEX,Mexico,10,144,1,2,4,3
11,HKG,Hong Kong,10,141,0,3,4,3
12,SGP,Singapore,10,129,1,2,4,3
13,IDN,Indonesia,10,126,1,2,4,3
14,ARG,Argentina,10,115,1,2,4,3
15,KAZ,Kazakhstan,10,111,1,2,4,3
16,PER,Peru,10,109,1,2,4,2
17,MYS,Malaysia,10,94,0,3,3,3
18,PHL,Philippines,10,79,0,2,2,4
19,BGD,Bangladesh,7,50,0,0,2,3
20,NZL,New Zealand,10,44,0,0,2,4
21,TJK,Tajikistan,8,36,0,0,1,3
22,TKM,Turkmenistan,10,34,0,0,1,3
22,SYR,Syria,7,34,0,1,0,1
24,SAU,Saudi Arabia,10,27,0,0,1,2
25,PAK,Pakistan,10,23,0,0,2,0
25,LKA,Sri Lanka,5,23,0,0,1,1
27,KHM,Cambodia,10,20,0,0,0,0
27,COL,Colombia,3,20,0,0,1,1
29,AZE,Azerbaijan,10,17,0,1,0,0
30,PAN,Panama,1,14,0,1,0,0
31,SLV,El Salvador,7,13,0,0,0,0
32,CRI,Costa Rica,6,12,0,0,0,1
33,TTO,Trinidad and Tobago,5,11,0,0,1,0
34,KGZ,Kyrgyzstan,3,9,0,0,1,0
35,URY,Uruguay,6,6,0,0,0,1
36,ECU,Ecuador,10,0,0,0,0,0
