Rank,Code,Country,# of Contestants,Total Score,Gold Awards,Silver Awards,Bronze Awards,Honorable Mentions
1,USA,United States of America,10,296,1,2,4,3
2,KOR,Republic of Korea,10,264,1,2,4,3
3,SGP,Singapore,10,234,1,2,4,3
4,IRN,Islamic Republic of Iran,10,229,1,2,4,3
5,JPN,Japan,10,224,1,2,4,3
6,CAN,Canada,10,222,1,2,4,3
7,AUS,Australia,10,216,1,2,4,3
8,BRA,Brazil,10,214,1,2,4,3
9,IND,India,10,214,1,2,4,3
10,HKG,Hong Kong,10,207,1,2,4,3
11,THA,Thailand,10,195,0,3,4,3
12,KAZ,Kazakhstan,10,195,1,2,4,3
13,MYS,Malaysia,10,186,1,2,4,3
14,TWN,Taiwan,10,179,0,3,4,3
15,BGR,Bulgaria,10,166,1,2,4,3
16,PER,Peru,10,160,0,3,4,3
17,UZB,Uzbekistan,10,156,1,2,3,4
18,MNG,Mongolia,10,154,0,2,5,3
19,MEX,Mexico,10,152,1,2,4,3
20,SAU,Saudi Arabia,10,120,0,0,6,4
21,KGZ,Kyrgyzstan,10,116,1,0,3,6
22,NZL,New Zealand,10,105,0,2,1,3
23,ARG,Argentina,10,100,0,1,1,5
24,TKM,Turkmenistan,10,100,0,0,3,7
25,COL,Colombia,10,100,0,1,3,2
26,PHL,Philippines,10,94,0,2,1,2
27,SYR,Syria,10,83,0,0,3,5
28,MAC,Macau,10,71,0,0,1,5
29,MAR,Morocco,10,70,0,1,1,3
30,TJK,Tajikistan,9,61,0,1,0,5
31,BOL,Bolivia,1,22,0,1,0,0
32,MKD,Macedonia,4,22,0,1,0,0
33,RWA,Rwanda,10,19,0,0,0,0
34,URY,Uruguay,5,15,0,0,0,0
35,ECU,Ecuador,10,4,0,0,0,0
36,SLV,El Salvador,4,4,0,0,0,0
37,PAN,Panama,2,1,0,0,0,0
