Code,Country,# of Contestants,Total Score,Gold Awards,Silver Awards,Bronze Awards,Honorable Mentions
ARG,Argentina,10,100,0,1,1,5
AUS,Australia,10,216,1,2,4,3
BOL,Bolivia,1,22,0,1,0,0
BRA,Brazil,10,214,1,2,4,3
BGR,Bulgaria,10,166,1,2,4,3
CAN,Canada,10,222,1,2,4,3
COL,Colombia,10,100,0,1,3,2
ECU,Ecuador,10,4,0,0,0,0
SLV,El Salvador,4,4,0,0,0,0
HKG,Hong Kong,10,207,1,2,4,3
IND,India,10,214,1,2,4,3
IRN,Islamic Republic of Iran,10,229,1,2,4,3
JPN,Japan,10,224,1,2,4,3
KAZ,Kazakhstan,10,195,1,2,4,3
KGZ,Kyrgyzstan,10,116,1,0,3,6
MAC,Macau,10,71,0,0,1,5
MKD,Macedonia,4,22,0,1,0,0
MYS,Malaysia,10,186,1,2,4,3
MEX,Mexico,10,152,1,2,4,3
MNG,Mongolia,10,154,0,2,5,3
MAR,Morocco,10,70,0,1,1,3
NZL,New Zealand,10,105,0,2,1,3
PAN,Panama,2,1,0,0,0,0
PER,Peru,10,160,0,3,4,3
PHL,Philippines,10,94,0,2,1,2
KOR,Republic of Korea,10,264,1,2,4,3
RWA,Rwanda,10,19,0,0,0,0
SAU,Saudi Arabia,10,120,0,0,6,4
SGP,Singapore,10,234,1,2,4,3
SYR,Syria,10,83,0,0,3,5
TWN,Taiwan,10,179,0,3,4,3
TJK,Tajikistan,9,61,0,1,0,5
THA,Thailand,10,195,0,3,4,3
TKM,Turkmenistan,10,100,0,0,3,7
USA,United States of America,10,296,1,2,4,3
URY,Uruguay,5,15,0,0,0,0
UZB,Uzbekistan,10,156,1,2,3,4
