Code,Country,# of Contestants,Total Score,Gold Awards,Silver Awards,Bronze Awards,Honorable Mentions
ARG,Argentina,10,132,0,3,3,2
AUS,Australia,10,170,1,2,4,3
BGD,Bangladesh,10,109,0,1,2,7
BOL,Bolivia,7,19,0,0,0,1
BRA,Brazil,10,207,1,2,4,3
KHM,Cambodia,10,44,0,0,0,4
CAN,Canada,10,230,1,2,4,3
COL,Colombia,5,23,0,0,1,0
CRI,Costa Rica,1,8,0,0,0,1
ECU,Ecuador,10,24,0,0,1,0
SLV,El Salvador,9,48,0,0,2,2
HKG,Hong Kong,10,176,1,2,4,3
IND,India,10,157,0,3,4,3
IDN,Indonesia,10,173,1,2,4,3
IRN,Islamic Republic of Iran,10,253,1,2,4,3
JPN,Japan,10,264,1,2,4,3
KAZ,Kazakhstan,10,81,0,0,1,9
KOR,Republic of Korea,10,294,1,2,4,3
KGZ,Kyrgyzstan,7,58,0,0,2,3
MYS,Malaysia,10,57,0,1,2,0
MEX,Mexico,10,149,1,2,4,3
NZL,New Zealand,10,93,0,0,2,8
NIC,Nicaragua,8,65,0,1,1,4
MKD,Macedonia,8,63,0,0,1,6
PAK,Pakistan,10,28,0,0,0,2
PAN,Panama,1,8,0,0,0,1
PER,Peru,10,158,1,2,4,3
PHL,Philippines,10,190,1,2,4,3
RUS,Russia,10,263,1,2,4,3
SAU,Saudi Arabia,10,116,1,0,3,4
SGP,Singapore,10,208,1,2,4,3
LKA,Sri Lanka,9,43,0,0,1,3
SYR,Syria,9,55,0,0,1,5
TWN,Taiwan,10,241,1,2,4,3
TJK,Tajikistan,10,92,0,1,0,9
THA,Thailand,10,270,1,2,4,3
TTO,Trinidad and Tobago,9,17,0,0,0,1
TKM,Turkmenistan,10,67,0,0,1,6
USA,United States of America,10,295,1,2,4,3
