Rank,Code,Country,# of Contestants,Total Score,Gold Awards,Silver Awards,Bronze Awards,Honorable Mentions
1,KOR,Republic of Korea,10,310,1,2,4,3
2,USA,United States of America,10,294,1,2,4,3
3,TWN,Taiwan,10,223,1,2,4,3
4,JPN,Japan,10,220,1,2,4,3
5,THA,Thailand,10,206,1,2,4,3
6,IND,India,10,205,1,2,4,3
7,KAZ,Kazakhstan,10,198,0,3,4,3
8,CAN,Canada,10,197,1,2,4,3
9,SGP,Singapore,10,193,0,3,4,2
10,AUS,Australia,10,192,0,3,4,3
11,HKG,Hong Kong,10,190,1,2,4,1
12,IDN,Indonesia,10,164,0,3,4,3
13,SAU,Saudi Arabia,10,163,0,3,4,3
14,MEX,Mexico,10,154,0,3,4,3
15,BRA,Brazil,10,139,0,3,4,1
16,ARG,Argentina,10,131,0,3,4,3
17,MYS,Malaysia,10,130,0,2,4,3
18,BGD,Bangladesh,10,129,0,1,6,3
19,PHL,Philippines,10,117,0,1,4,4
20,TKM,Turkmenistan,10,117,0,1,4,5
21,IRN,Islamic Republic of Iran,8,114,0,3,2,3
22,TJK,Tajikistan,10,111,0,0,5,1
23,MAR,Morocco,10,76,0,0,1,3
24,NZL,New Zealand,10,76,0,0,1,6
25,KGZ,Kyrgyzstan,10,71,0,0,2,4
26,SYR,Syria,10,61,0,1,0,3
27,LKA,Sri Lanka,8,56,0,0,3,2
28,MKD,Macedonia,6,54,0,1,1,2
29,SLV,El Salvador,5,47,1,0,1,1
30,CRI,Costa Rica,8,43,0,0,0,3
31,COL,Colombia,10,42,0,0,1,2
32,BOL,Bolivia,7,33,0,0,1,1
33,ECU,Ecuador,10,31,0,0,0,2
34,URY,Uruguay,1,8,0,0,0,1
35,PAN,Panama,5,7,0,0,0,1
