Rank,Code,Country,# of Contestants,Total Score,Gold Awards,Silver Awards,Bronze Awards,Honorable Mentions
1,USA,United States of America,10,278,1,2,4,3
2,RUS,Russia,10,206,1,2,4,3
3,SGP,Singapore,10,203,1,2,4,2
4,IRN,Islamic Republic of Iran,10,192,1,2,4,3
5,AUS,Australia,10,185,1,2,4,3
6,CAN,Canada,10,180,1,2,4,3
7,THA,Thailand,10,175,1,2,4,3
8,IND,India,10,170,1,2,4,3
9,TWN,Taiwan,10,168,1,2,4,3
10,BRA,Brazil,10,166,1,2,4,3
11,MEX,Mexico,10,149,0,3,4,3
12,IDN,Indonesia,10,149,1,1,5,3
13,KAZ,Kazakhstan,10,146,0,3,4,3
14,PER,Peru,10,146,0,3,4,3
15,SAU,Saudi Arabia,10,133,0,3,4,3
16,BGD,Bangladesh,10,131,0,2,5,3
17,NZL,New Zealand,10,129,1,2,3,3
18,ARG,Argentina,10,123,1,2,2,5
19,TJK,Tajikistan,10,110,1,0,3,6
20,COL,Colombia,10,105,1,2,2,2
21,SYR,Syria,10,101,0,0,5,5
22,MAR,Morocco,10,96,0,1,2,7
23,AZE,Azerbaijan,8,91,0,1,2,5
24,MYS,Malaysia,9,89,0,2,3,1
25,KGZ,Kyrgyzstan,10,84,0,0,2,8
26,TKM,Turkmenistan,10,80,0,0,1,9
27,SLV,El Salvador,7,58,0,0,2,4
28,LKA,Sri Lanka,9,57,0,0,3,2
29,NIC,Nicaragua,10,50,0,0,1,4
30,MKD,Macedonia,8,46,0,0,1,5
31,PAK,Pakistan,10,43,0,0,0,4
32,ECU,Ecuador,10,41,0,0,1,3
33,PAN,Panama,4,36,0,0,2,1
34,URY,Uruguay,5,34,0,0,1,3
35,BOL,Bolivia,4,25,0,0,0,3
36,TTO,Trinidad and Tobago,10,22,0,0,0,2
37,CRI,Costa Rica,2,9,0,0,0,1
38,KHM,Cambodia,1,2,0,0,0,0
