Code,Country,# of Contestants,Total Score,Gold Awards,Silver Awards,Bronze Awards,Honorable Mentions
ARG,Argentina,10,123,1,2,2,5
AUS,Australia,10,185,1,2,4,3
AZE,Azerbaijan,8,91,0,1,2,5
BGD,Bangladesh,10,131,0,2,5,3
BOL,Bolivia,4,25,0,0,0,3
BRA,Brazil,10,166,1,2,4,3
KHM,Cambodia,1,2,0,0,0,0
CAN,Canada,10,180,1,2,4,3
COL,Colombia,10,105,1,2,2,2
CRI,Costa Rica,2,9,0,0,0,1
ECU,Ecuador,10,41,0,0,1,3
SLV,El Salvador,7,58,0,0,2,4
IND,India,10,170,1,2,4,3
IDN,Indonesia,10,149,1,1,5,3
IRN,Islamic Republic of Iran,10,192,1,2,4,3
KAZ,Kazakhstan,10,146,0,3,4,3
KGZ,Kyrgyzstan,10,84,0,0,2,8
MYS,Malaysia,9,89,0,2,3,1
MEX,Mexico,10,149,0,3,4,3
MAR,Morocco,10,96,0,1,2,7
NZL,New Zealand,10,129,1,2,3,3
NIC,Nicaragua,10,50,0,0,1,4
MKD,Macedonia,8,46,0,0,1,5
PAK,Pakistan,10,43,0,0,0,4
PAN,Panama,4,36,0,0,2,1
PER,Peru,10,146,0,3,4,3
RUS,Russia,10,206,1,2,4,3
SAU,Saudi Arabia,10,133,0,3,4,3
SGP,Singapore,10,203,1,2,4,2
LKA,Sri Lanka,9,57,0,0,3,2
SYR,Syria,10,101,0,0,5,5
TWN,Taiwan,10,168,1,2,4,3
TJK,Tajikistan,10,110,1,0,3,6
THA,Thailand,10,175,1,2,4,3
TTO,Trinidad and Tobago,10,22,0,0,0,2
TKM,Turkmenistan,10,80,0,0,1,9
USA,United States of America,10,278,1,2,4,3
URY,Uruguay,5,34,0,0,1,3
